t_sec,v_varpi_0deg,v_varpi_90deg,v_varpi_180deg,v_varpi_270deg,v_varpi_60deg,v_varpi_120deg,v_varpi_240deg,v_varpi_300deg,v_circular
14947.200000,-23985.988428,-21528.987016,23985.988428,21528.987016,-30637.643888,-6651.655460,30637.643888,6651.655460,-27755.469643
14990.400000,-24045.943736,-21382.941564,24045.943736,21382.941564,-30541.142470,-6495.198734,30541.142470,6495.198734,-28008.094766
15033.600000,-24105.374109,-21237.016597,24105.374109,21237.016597,-30444.482928,-6339.108820,30444.482928,6339.108820,-28259.614177
15076.800000,-24164.282615,-21091.211427,24164.282615,21091.211427,-30347.666200,-6183.383585,30347.666200,6183.383585,-28510.017946
15120.000000,-24222.672289,-20945.525361,24222.672289,20945.525361,-30250.693202,-6028.020914,30250.693202,6028.020914,-28759.296189
15163.200000,-24280.546126,-20799.957701,24280.546126,20799.957701,-30153.564829,-5873.018703,30153.564829,5873.018703,-29007.439064
15206.400000,-24337.907089,-20654.507745,24337.907089,20654.507745,-30056.281955,-5718.374865,30056.281955,5718.374865,-29254.436775
15249.600000,-24394.758106,-20509.174788,24394.758106,20509.174788,-29958.845430,-5564.087324,29958.845430,5564.087324,-29500.279572
15292.800000,-24451.102068,-20363.958121,24451.102068,20363.958121,-29861.256088,-5410.154020,29861.256088,5410.154020,-29744.957747
15336.000000,-24506.941834,-20218.857030,24506.941834,20218.857030,-29763.514740,-5256.572906,29763.514740,5256.572906,-29988.461643
15379.200000,-24562.280229,-20073.870797,24562.280229,20073.870797,-29665.622177,-5103.341948,29665.622177,5103.341948,-30230.781645
15422.400000,-24617.120043,-19928.998703,24617.120043,19928.998703,-29567.579171,-4950.459127,29567.579171,4950.459127,-30471.908188
15465.600000,-24671.464035,-19784.240024,24671.464035,19784.240024,-29469.386472,-4797.922438,29469.386472,4797.922438,-30711.831752
15508.800000,-24725.314930,-19639.594031,24725.314930,19639.594031,-29371.044816,-4645.729886,29371.044816,4645.729886,-30950.542866
15552.000000,-24778.675420,-19495.059995,24778.675420,19495.059995,-29272.554914,-4493.879494,29272.554914,4493.879494,-31188.032105
15595.200000,-24831.548168,-19350.637181,24831.548168,19350.637181,-29173.917462,-4342.369294,29173.917462,4342.369294,-31424.290094
15638.400000,-24883.935802,-19206.324853,24883.935802,19206.324853,-29075.133138,-4191.197335,29075.133138,4191.197335,-31659.307506
15681.600000,-24935.840921,-19062.122272,24935.840921,19062.122272,-28976.202598,-4040.361677,28976.202598,4040.361677,-31893.075063
15724.800000,-24987.266091,-18918.028694,24987.266091,18918.028694,-28877.126484,-3889.860393,28877.126484,3889.860393,-32125.583535
15768.000000,-25038.213849,-18774.043375,25038.213849,18774.043375,-28777.905419,-3739.691570,28777.905419,3739.691570,-32356.823745
15811.200000,-25088.686700,-18630.165566,25088.686700,18630.165566,-28678.540007,-3589.853307,28678.540007,3589.853307,-32586.786563
15854.400000,-25138.687122,-18486.394518,25138.687122,18486.394518,-28579.030838,-3440.343716,28579.030838,3440.343716,-32815.462910
15897.600000,-25188.217559,-18342.729477,25188.217559,18342.729477,-28479.378481,-3291.160922,28479.378481,3291.160922,-33042.843758
15940.800000,-25237.280430,-18199.169687,25237.280430,18199.169687,-28379.583492,-3142.303062,28379.583492,3142.303062,-33268.920132
15984.000000,-25285.878121,-18055.714393,25285.878121,18055.714393,-28279.646408,-2993.768287,28279.646408,2993.768287,-33493.683106
16027.200000,-25334.012993,-17912.362833,25334.012993,17912.362833,-28179.567751,-2845.554759,28179.567751,2845.554759,-33717.123807
